Gene,Rule
GSTP1,(TP53) AND (NOT PPARA)
PPP2CA,(TP53)
SLC22A5,(PPARA) OR (PPARG)
TRIM63,(FOXO1) OR (FOXO3)
FABP2,(PPARG) OR (FOXO1)
SRC,(FOXO3)
PDGFRB,(TP53) OR (PPARG)
CDK4,(NOT TP53)
PARP1,(TP53) OR (EP300)
PRKCE,(PPARG)
AICDA,(FOXO1)
PTP4A1,(TP53)
DUT,(NOT TP53)
PDF,(TP53)
DUSP11,(TP53)
MDH1,(TP53)
AKR1B10,(TP53)
GC,(TP53)
MAPK12,(TP53)
ALAS1,(PPARA)
ILK,(TP53)
AGA,(TP53)
HMGCR,(TP53) OR (FOXO1) OR (FOXO3) OR (PPARA)
BSG,(TP53) AND (NOT PPARA)
TH,(TP53)
CYP7B1,(NOT PPARA)
SLC25A20,(PPARA)
SLC4A1,(NOT PPARG)
SLC9A1,(NOT PPARG) AND (PPARA)
AKT2,(FOXO3) OR (TP53)
AACS,(PPARG)
MAP2K3,(TP53)
SLC16A1,(PPARA) OR (TP53) OR (FOXO1)
GLS2,(TP53)
GCLC,(PPARA)
GLRX,(PPARA)
DHRS3,(TP53)
FMO3,(TP53)
EHMT1,(TP53)
ANKRD1,(TP53)
SIRT6,(FOXO3)
DCLK1,(TP53)
USP7,(TP53)
MAP3K1,(TP53)
DAPK1,(TP53) OR (FOXO1)
PGP,(TP53)
LIMK2,(TP53)
CP,(FOXO1)
CDC25B,(NOT TP53)
USP29,(TP53)
LRP2,(PPARA) OR (PPARG)
NUAK1,(TP53)
STK11,(TP53) OR (FOXO3)
UHRF1,(NOT TP53)
DDR1,(TP53)
SLC31A1,(TP53)
SIRT3,(PPARG) OR (FOXO3)
MAP3K5,(TP53)
RNF20,(TP53)
PTPN6,(TP53)
MAOA,(NOT FOXO1)
PGK1,(NOT PPARG)
PRKCZ,(NOT PPARG)
MET,(NOT TP53)
SLC2A12,(NOT TP53)
SIN3B,(TP53)
SIN3A,(TP53)
LATS2,(TP53)
KMT5A,(TP53) OR (PPARG)
FOSL1,(TP53)
SLC4A4,(TP53)
RBP4,(PPARA) OR (PPARG)
CDK6,(TP53)
MAT2A,(NOT PPARG) AND (PPARA)
HK2,(PPARG) AND (NOT TP53)
ROS1,(FOXO3)
MARK1,(TP53)
ME3,(TP53)
SYK,(PPARG)
LDLR,(NOT PPARG) AND (NOT PPARGC1A) AND (PPARA)
TAT,(TP53)
PRKAA2,(FOXO3)
MOGAT1,(PPARG)
MGAT1,(PPARG)
DGKA,(FOXO1) OR (FOXO3)
AURKA,(NOT TP53)
APOB,(TP53 OR PPARA) AND (NOT PPARG)
GAD2,(TP53)
CYP2B6,(TP53)
CTSB,(PPARA)
POLR3B,(TP53)
PKM,(NOT PPARG)
AXL,(TP53)
CYP3A4,(PPARA) OR (TP53)
ME1,(NOT TP53) AND (NOT FOXO1)
ME2,(NOT TP53)
MINK1,(TP53)
B3GNT9,(TP53)
SULT1E1,(NOT PPARA)
ABCC2,(FOXO1) OR (TP53)
SPHK1,(PPARA) OR (EP300)
CUBN,(PPARA)
SLC5A5,(TP53) OR (PPARG)
OTUD5,(TP53)
NEK2,(NOT TP53) AND (NOT FOXO1)
PRPS1,(PPARG)
AQP9,(TP53)
WEE1,(TP53)
FASN,(FOXO1) AND (NOT TP53)
EHMT2,(TP53)
SETDB1,(TP53)
MAPK13,(TP53)
UGT2B7,(TP53)
BRAP,(TP53)
GLUL,(FOXO1)
CKM,(TP53)
HUNK,(TP53)
CKB,(NOT TP53)
TKT,(TP53) AND (NOT FOXO1)
TPO,(TP53)
TYR,(NOT TP53) AND (PPARG)
CAMK4,(TP53)
PDGFRA,(FOXO1) AND (NOT PPARG)
WNK2,(TP53)
PCK2,(FOXO1) OR (PPARGC1A)
TRDMT1,(TP53)
GPX1,(TP53)
POLD2,(TP53)
REV3L,(TP53)
PTP4A2,(TP53)
GGH,(TP53)
UBA3,(TP53)
COX7A2L,(TP53)
CTDSPL2,(TP53)
SYVN1,(TP53)
