LipidGroup,BH1,BH2,BH3,BH4,BN2,BN3,BN5,BN6,CH1,CH2,CH3,CH5,CN1,CN2,CN3,CN5
DG(14:2)+H,2236063.479,5593662.248,2312386.312,2560814.198,4344563.293,817852.3332,2077184.232,38277765.98,58724498.66,1786524.292,15614748.59,1601597.598,4501691.696,2244010.263,4931813.52,7627009.275
DG(14:2)+H,2932922.934,3761117.877,2604519.941,4199694.425,4183012.215,11907151.79,12388615.72,5086529.973,9135171.117,9268054.976,2684442.76,9293500.42,2145293.132,5520086.911,2793434.008,6634027.794
DG(14:2)+H,4765959.039,28577381.59,1599022.597,2876817.632,5283426.63,8567077.056,2464648.517,67133872.26,1630457.972,2599616.348,6436196.338,4847370.607,3686871.392,3690210.209,5255740.669,19418921.88
DG(14:3)+H,1051264.301,1710386.429,157880223.2,6839653.365,77905143.45,2738735.076,10431470.42,42600484.26,10099253.38,7402000.62,19140748.3,46208025.03,13512315.07,14314692.83,2378711.278,1722651.655
DG(14:3)+H,5065062.366,4955828.656,1280263.002,3245245.944,5550319.017,592853.085,1149347.781,78411762.26,194297984.1,64219051.46,1835350.695,18825601.33,5676970.278,106422528.1,7610706.496,1261452.121
DG(14:3)+H,4028339.533,4250925.249,966897.1716,650660.9808,1573392.684,1449557.057,2804187.795,5513667.201,12290644.58,5199080.52,1561695.729,1291269.692,15572167.32,4128111.571,2860376.135,5452023.526
DG(14:3)+H,2005832.123,2083618.122,3086779.1,1491643.958,2036117.775,3136911.807,2191457.895,1539265.054,42580650.98,1351504.265,4717221.228,2171429.2,3392997.224,549998.955,2225484.484,3081762.57
DG(14:3)+H,5826098.453,2820393.245,3717643.074,3150418.811,3341660.398,3336684.443,2608405.358,2670122.317,1024448.282,7368211.885,2948535.618,2409343.263,3083589.875,2726439.874,4886441.769,2950885.365
DG(14:3)+H,7856729.942,7391796.05,2747477.216,15901582.14,23087668.95,13792923.58,6402035.697,5933115.26,1997064.203,20237338.39,18038295.24,10819751.93,14483711.16,1981961.587,12562313.57,1398557.37
DG(14:3)+H,1274445.214,6292431.305,9655325.618,7947666.46,1824337.71,363324.6246,4241663.494,4059178.138,4639352.738,5787445.432,2766437.546,6995482.862,5363243.959,8968336.138,15541163.83,5240162.362
DG(14:3)+NH4,5750886.534,2116389.095,5821566.288,3533870.01,1370790.325,5472851.818,25941574.34,6907138.289,7907694.155,5034857.638,2941304.677,2536329.99,659041.9218,5078151.228,5490907.541,2638888.051
DG(14:3)+NH4,51356770.09,3412261.584,5698421.069,3396946.674,2952131.512,2261211.93,2414508.999,6858537.458,4333036.511,1444048.353,1928205.383,2501766.805,7299413.998,177853690.8,5492812.094,3319328.036
DG(14:3)+H,5376972.997,13918344.82,3118063.211,2415017.799,9488007.492,4001495.058,1817256.939,2843703.821,28146642.14,6423399.548,13083476.22,4683012.159,2033587.794,7210017.452,3406739.644,1427933.905
DG(14:3)+H,1019078.972,664236.5316,1945233.759,2645650.628,1166081.674,3753720.66,2538112.193,1988204.821,2206324.916,4666830.276,2343923.487,1666161.803,2803097.895,731579.94,2719153.042,3867987.218
DG(14:3)+H,4112579.884,9601119.387,3843423.321,5242760.032,7770451.168,9301195.013,57976823.89,2804787.479,3723557.792,498287518.7,5550314.94,3042327.361,10416090.16,4308919.19,8953681.309,4238691.416
DG(14:3)+NH4,6028364.068,9818200.288,3390947.952,7850395.358,3416884.846,4080914.777,1460454.56,3861835.938,3513422.964,6737113.518,25511858.27,5671401.72,2977516.012,4639177.804,2718812.415,1746506.742
DG(14:3)+H,252544422.4,5368692.896,11229336.56,4285284.568,4008142.23,308782688.5,69735065.58,5207177.921,262287537.2,8685885.806,416491949.2,5472280.432,2595227.276,3142726.745,4496805.435,3621222.96
DG(14:3)+NH4,3973166.069,6239572.185,4730818.27,8672439.759,27499664.23,30646678.32,4696151.434,2403968.031,2203506.337,3145392.877,2352352.098,40258281.5,9104960.407,946346.8614,1019133.573,11827377.74
DG(14:3)+H,3040759.141,401429144.3,404569699.3,6622356.937,8689730.885,4084081.569,153011888.2,422407889.2,5715061.587,7403881.34,11418848.64,292256278.5,151139711.5,391860858.3,1834001.674,243656243.6
DG(14:3)+NH4,3092632.924,1764584.422,1832954.154,5047902.135,3889621.313,5639043.218,4046394.586,5341505.812,10894386.9,1962944.629,2260678.573,1701387.104,2796724.429,4421847.9,4385038.173,13591747.49
DG(14:4)+H,3628581.51,771475.4196,6861291.343,2367480.08,2140059.197,11770909.46,13606657.44,3480378.654,4573769.995,5516290.334,7381384.629,3232252.178,2119101.449,2755128.625,14215714.99,16152471.09
DG(14:4)+H,1991504.686,1210847.193,723698.5593,3145015.219,5195438.222,902395.2834,1624646.279,1269957.246,17953647.35,844922.031,571990.6803,6674692.184,6040664.883,5361781.645,7241807.013,4055866.719
DG(14:4)+H,503427.8346,2191099.436,672626.9406,5268057.12,1867991.269,4933812.848,2494012.746,440455.9791,4577675.537,1242842.758,38210326,30061366.63,6645755.18,2702555.447,2387699.025,2587788.794
DG(14:4)+H,1511282.15,20117.916,3240076.007,763209.144,2210239.548,2031129.105,3162664.447,5174931.428,3350232.866,2645541.026,3238371.91,3191943.125,3052270.945,2884540.84,4673368.355,2342731.386
DG(14:4)+H,3116002.236,3742355.527,1152565.373,18595392.07,16419988,9665406.13,3074865.235,2728202.714,2796393.571,2436676.113,846289.2336,2650211.254,3458869.995,6615032.969,1134495.705,2956855.324
DG(14:4)+H,189586.6167,3091130.607,1475140.321,1275611.237,1629732.138,1381331.88,3453722.001,773980.6425,1712926.325,2292055.918,634079.25,3187457.129,3608305.192,4566333.749,1560404.432,2121482.317
DG(14:4)+H,0,1069789.383,2419005.894,2259994.8,0,790837.53,990747.3351,0,82027.4484,2204387.755,1151773.69,376722.7425,2065982.213,1288629.855,579267.1188,864863.8062
DG(14:4)+H,3515560.664,1288875.051,3322554.994,2453897.209,3499411.591,2485072.81,1563611.606,3558821.16,8792970.455,2345647.824,1188029.495,3683804.879,2860645.436,4006329.732,4184528.732,8423110.65
DG(14:4)+H,2010462.666,2776697.94,13572814.45,3767698.497,1872093.773,3493774.558,4121543.663,1615044.948,2611280.6,2949269.244,3028650.525,700684.9782,1312979.444,5874589.552,7911214.007,2047522.879
DG(14:4)+H,698545.8084,2159734.112,1658058.162,5404492.275,3268955.112,1995715.5,4907664.769,1204493.637,2266689.924,3872555.175,3465021.711,3096844.859,1845525.292,1770889.16,3230223.586,2091221.54
DG(15:2)+NH4,19981099.97,167160771.6,169960344.8,18717537.69,51224716.84,13625065.08,14528370.29,179727867.9,171307032.3,68851582.86,170761505.9,190007822.7,186960380.4,46765400.1,188159926.2,182819370
