taxonID,V3_C005,V3_C009,V3_C010,V3_C016,V3_C018,V3_C019,V3_C100,V3_C101,V3_C105,V3_C106,V3_C110,V3_C111,V3_C112,V3_C113,V3_C114,V3_C117,V3_C119,V3_C120,V4_C005,V4_C009,V4_C010,V4_C016,V4_C018,V4_C019,V4_C100,V4_C101,V4_C105,V4_C106,V4_C110,V4_C111,V4_C112,V4_C113,V4_C114,V4_C117,V4_C119,V4_C120,V5_C005,V5_C009,V5_C010,V5_C018,V5_C019,V5_C100,V5_C101,V5_C105,V5_C106,V5_C110,V5_C111,V5_C112,V5_C113,V5_C114,V5_C117,V5_C119,V5_C120,V6_C005,V6_C009,V6_C010,V6_C016,V6_C018,V6_C019,V6_C100,V6_C101,V6_C105,V6_C106,V6_C110,V6_C111,V6_C112,V6_C113,V6_C114,V6_C117,V6_C119,V6_C120
taxid_1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,1,0,0,0,0,0,0,0,2,28,0,1,3,1,4,99,0,153,0,2,0,4,209,2,11,8,143,0,134,11,7,140,96,2570,147,1179,117,96,79,860,4076,573,1732,229,61,1228
taxid_1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,15,0,0,32,1,8,150,0,162,0,3582,0,0,14,6,1,0,21,0,410,664,463,97,71,1574,307,1992,207,47,136,126,146,1547,793,193,188,519
taxid_28026,0,0,0,0,2,0,0,0,21,0,92,13,0,0,0,346,7,0,0,19,0,0,2,0,0,7,2,3,60,63,3,28,55,1331,468,0,679,1,0,38,0,0,1,31,248,129,91,5,54,142,90,44,1,1,0,0,940,394,4,38,1,108,213,1393,1935,34,0,1316,189,3,2538
taxid_457397,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,2,0,0,239,0,0,29,15,371,1082,1,561,9,0,0,1,8,1500,7,0,29,0,34,347,749,0,1719,387,553,164,196,150,1716,75,22,477,429,679,117,48
taxid_360807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,595,0,1,0,1,1,43,0,54,0,2,0,1,1789,1,25,0,16,0,22,13,8,10,39,484,20,435,25,8,52,74,672,28,1414,5319,1100,45
taxid_572511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,189,0,1,2,4,4,80,1,87,0,15,0,5,90,7,13,0,1006,0,1252,10,8,107,524,967,53,536,54,1304,23,269,717,171,303,843,1571,2229
taxid_1681,0,0,0,1,148,6,0,0,1782,0,1906,5,0,0,0,2,4,0,0,0,0,0,762,1,0,1,67,1,94,0,0,1043,35,55,1629,464,2,0,2,174,1,2,9,94,310,129,8,170,204,269,129,605,340,0,0,2,117,164,127,9,12,163,3,251,17,153,0,121,132,12,206
taxid_171549,592,332,331,71,397,0,114,0,172,46,234,333,5,0,0,25,0,0,255,159,350,1,171,3,86,1,34,227,0,418,3,0,0,132,7,0,163,0,170,28,2,125,0,1782,267,0,346,0,55,0,83,45,0,354,7,149,607,101,33,94,142,270,1,17,408,7,165,90,640,29,981
taxid_292800,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,190,1,1733,0,178,0,2,0,0,191,91,1,0,2,0,553,272,1133,587,1,192,121,143,261,1418,327,119,596,1362,1191,482,205,224
taxid_817,534,4,724,139,2468,0,10,0,61,6,18,273,6,0,0,37,0,0,714,3,297,2,8,1,6,0,19,12,0,445,1,0,0,60,1,1,28,0,908,560,0,2,0,36,7,0,686,0,10,0,12,4,0,173,3,265,313,151,170,10,49,211,0,0,215,1,28,161,280,1286,76
taxid_571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,407,0,0,86,0,0,0,62,0,0,0,368,41,598,0,62,2219,5,25,212,0,0,13,118,2,2303,16,175,33,1,2,608,0,633,0,0,0,1,5,0,1,0,0,2251,1,4,1,83,0,0,0,346,0
taxid_1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,4,2,377,633,3,0,1,0,7,0,0,2,2992,0,1,3,0,131,245,155,3,624,431,237,56,424,2081,64,310,20,832,406,108,146,215
taxid_1739406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,336,101,133,0,0,29,14,2,0,93,5,1281,149,23,792,84,161,16,1467,889,68,41,1,12,1,0,0,9,1825,516,0,28,0,0,210,1,1844,7,0,0
taxid_40545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,898,0,1,0,0,8768,0,1,0,0,1,1,1,0,197
taxid_40520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,16,1,0,0,2,6,114,0,105,0,3,0,1,145,1,7,0,199,0,110,18,2,86,79,2439,87,612,111,86,37,227,995,316,601,239,67,2980
taxid_724,0,0,0,0,32,537,0,0,8,5,3,10,0,0,3,0,74,86,0,0,106,310,2,1159,0,0,32,16,0,0,0,0,0,0,0,0,1,92,0,1,1944,0,0,66,0,54,0,563,392,0,0,0,0,154,117,30,25,119,717,62,0,291,93,1749,36,15,565,24,1,118,3
taxid_37734,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,241,4055,0,0,206,0,1,0,1,1563,53,0,0,1,0,0,0,13,32,235,0,1438,0,1,1,1,2,0,1,0,0,0,1,1,3,0,1,1,0,1655,0
taxid_1776391,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,3,2,377,0,1,0,0,0,0,55,2,0,6,0,0,208,311,104,0,606,5200,2,11,91,15,2085,0,1,16,6,3,1,0
taxid_1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,2,0,0,4,0,7,17,0,9,0,6,0,12,10,4,0,0,25,0,700,43,1355,14,11,20,1229,37,21,472,76,23,12,699,1349,192,1444,34
taxid_39491,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,76,0,3,1,2,9,55,0,366,0,9,0,1,504,2,36,0,24,0,30,12,3,14,52,282,38,537,21,28,47,150,296,22,2007,119,71,3875
taxid_29348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12,2,3,1,0,4,0,0,0,3,0,0,1,0,2243,5,640,16,4,1210,13,59,1,489,23,11,28,952,1196,631,4,752
taxid_43675,157,0,25,20,0,5,491,467,3,1,28,24,18,1328,73,3,271,270,0,2,3,1,0,154,330,961,469,176,0,0,0,930,108,15,160,169,0,6,0,0,2,0,445,0,98,2,16,639,73,96,121,15,0,0,0,0,0,0,0,6,0,0,63,0,2,0,0,0,0,3,0
taxid_1689,0,0,0,0,1,50,0,0,1,0,0,1,0,0,0,0,0,0,59,1,0,0,0,84,0,2,0,0,0,0,428,111,0,1,726,306,0,0,0,258,235,0,65,933,0,0,0,3824,267,1,1,0,68,0,0,0,0,75,1,0,64,15,83,0,145,2,4,1,0,309,3
taxid_936548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,1,2,0,0,19,24,7,0,1529,1,480,12,5,74,15,2388,141,536,13,23,789,5,453,3,0,0,141,107,625,6,343,4,0,29,5,212,86,2,16
taxid_1282,70,146,467,428,72,970,396,563,530,216,1140,501,168,269,0,8,0,96,0,103,0,1,3,32,584,0,623,14,0,5,602,0,10,2,16,12,0,1,1,0,0,0,0,0,3,8,0,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0
taxid_100884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,2,0,657,0,1,9,0,0,0,333,0,1853,6,2,12,2,2430,25,3,3,7,387,160,407,104,1540,0
taxid_33945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,2,1,0,0,1,0,0,41,116,404,574,0,4,0,0,0,0,2564,0,3,0,0,137,2,0,1376,0,5,6,33,2234,279
taxid_1379,801,0,1486,937,369,1149,0,7,49,24,284,4,6,599,1,0,2,1564,0,4,0,10,0,4,6,0,388,0,0,0,0,2,0,0,0,0,1,96,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0
taxid_103621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,87,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1371,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,229,0
taxid_649756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,127,0,0,0,1,615,0,2,0,5,0,4,4,0,1726,251,976,334,1134,99,5,1,1184,622,6,156,189,3,163
taxid_1578,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,60,0,0,0,46,43,39,0,314,0,13,21,21,0,1,2634,93,378,418,142,0,393,1,0,2,79,1693,84,0,4,1,0,1,9,0,2,0,2,3,841,1,4,3,33,2,6
taxid_1343,664,250,1,32,2,40,0,0,3,665,4,530,124,3,0,1,0,6,251,1066,0,7,71,6,3,645,650,720,2,398,320,3,0,179,1,127,2,3,0,0,36,0,15,0,6,8,0,56,48,9,12,18,1,0,8,0,8,0,48,20,0,17,20,14,7,8,5,24,7,1,0
taxid_28025,875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1626,0,0,0,0,0,0,0,0,1,0,2,0,37,0,1,110,0,0,0,0,0,0,0,0,0,0,0,1,58,1189,0,650,77,216,546,207,0,1,1,5,69,89,0,42,0,40,805,36,11,301,1,0
taxid_1530,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,627,0,4,1211,1003,0,0,0,1,0,0,0,0,0,0,0,0,0,132,1732,0,181,2,12,0,43,3,1658,0,0,195,0,0,0,1
taxid_28116,5,3,27,1,5,0,7,0,6,1,5,24,1,0,0,6,0,0,6,3,123,0,4,0,2,0,2,11,0,47,0,0,0,10,0,0,88,0,39,0,0,3,0,4,1,0,222,0,2,0,0,0,0,8,0,36,266,6,15,5,185,597,1,4,30,0,48,2,3473,2,1357
taxid_28052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,35,0,5,0,0,0,0,2278,0,74,0,0,0,24,1,1,3,215,2239,0,748,1,94,35,222,327,1,136,20,149,10
taxid_46503,142,3,5,1,7,0,88,0,11,1,2,3056,0,0,0,0,0,0,215,3,22,0,1,0,124,0,0,2,0,728,0,0,0,0,0,0,6,0,8,0,0,3,0,10,8,0,240,0,2,0,0,0,0,289,0,6,4,1,1,5,215,3,0,1,181,0,4,0,6,0,1215
taxid_630129,0,0,0,0,2,0,0,0,2,0,2,63,0,0,0,9,0,0,0,1,0,0,0,0,0,16,1,3,0,289,1,94,4,81,8,4,3,2,0,104,1,0,6,1,1,1,251,3,116,432,6,0,0,0,0,2,110,1023,1,148,0,2,558,9,1687,97,1,513,195,4,687
taxid_36834,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,269,0,0,5,0,6,1,694,217,20,0,1,2,0,0,0,3,0,0,0,2,0,0,703,8,0,626,2816,2,1,484,145,63,25,246,49,0,112,6,0
taxid_1680,0,0,1,0,9,5,0,0,28,0,5,1,0,0,0,17,0,0,0,515,0,0,11,0,0,19,55,0,2,13,4,2,3,1316,16,4,7,0,2,8,86,1,0,582,6,11,10,27,11,35,16,199,2,2,1,4,11,90,71,23,1,696,76,20,2011,5,2,25,15,260,91
taxid_137838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1355,0,4,727,642,0,0,0,0,0,0,2,0,0,0,0,0,0,77,1170,0,119,2,3,1,28,1,1956,0,0,132,0,0,1,0
taxid_1352,5,3,1,1,0,3,0,0,10,1,5,2,11,1,0,5,5,1,861,0,2,0,0,0,0,265,0,16,0,0,13,233,0,3,18,0,1,1,10,1332,87,2,2098,6,5,1,3,23,21,43,0,16,5,7,12,13,52,15,24,15,14,11,592,14,36,21,101,6,23,39,14
